,,,,,,
Slno.,Question,A,B,C,D,Answer
,,,,,,
1,If A completes a particular work in 8 days and B completes the same work in 24 days. How many days will it take if they work together?,4,5,6,7,6
2,"What comes next in the sequence: 1, 3, 11, 43, ____",161,171,181,191,171
3,What is the distance traveled by a car which traveled at a speed of 80 km/hr for 3 hours and 30 minutes?,275km,280km,285km,290km,280km
4,In a class of 40 students 20% are girls. How many boys are there in the class?,26,28,30,32,32
5,2 + 2 − 2 × 2 ÷ 2 = ?,0,1,2,4,2
6,|2| + |–2| + (2)2 + (–2)2 = ?,6,8,10,12,12
7,"If x = –1, then what is the value of the function

f(x) = x^3 + 4x +12",7,9,11,13,7
8,"If
x/4 + 4 = 7/2
then x = ?",-2,-1,1,2,-1
9,"What comes next in the sequence: 2, 4, 10, 28, ___ ?",64,70,76,82,82
10,How many feet there are in 5 meters? If 1 meter = 3.281 feet,15.505,15.905,16.405,16.805,16.405
11,Which of the following numbers gives 240 when added to its own square?,15,16,18,20,15
12,Evaluation of 83 × 82 × 8-5 is …………. ,1,0,8,None of these.,1
13,The simplest form of 1.5 : 2.5 is …………… .,6 : 10,15 : 25,0.75 : 1.25,3 : 5,3 : 5
14,106 × 106 – 94 × 94 = ?,2004,2400,1904,1906,2400
15,125 gallons of a mixture contains 20% water. What amount of additional water should be added such that water content be raised to 25%?,15/2 gallons,17/2 gallons.,19/2 gallons.,8 1/3 gallons.,81/3 gallons.
16,"A clock strikes once at 1 o’clock, twice at 2 o’clock, thrice at 3 o’clock and so on. How many times will it strike in 24 hours?",78,136,156,196,156
17,What is 1004 divided by 2?,52,502,520,5002,502
18,"The number of 3-digit numbers divisible by 6, is ………….. .",149,166,150,151,150
19,A fraction which bears the same ratio to 1/27 as 3/11 bear to 5/9 is equal to ……….. ., 1/55,55,3/11,1/11,1/55
20,The average of first 50 natural numbers is …………. .,25.3,25.5,25,12.25,25.5
21,"What'd be x if three angles of a triangle are x, 2x and 3x degrees?",30,60,25,45,30
22,"What'd be x and y if, 5x + 3y = 11 and 2x - 7y = -12?",Both -1,2 and 1,-1 and 2,1 and 2,1 and 2
