,,,,,,
,,,,,,
,,,,,,
Sl No,Question,A,B,C,D,Answers
1,"Who heads the committee formed by Reserve Bank of India to set up a new mechanism for
stressed assets (committee will also evaluate resolution plans where debt is more than Rs 1,500
crore.)?",Diwakar Gupta,N. Manoharan,KV Kamath,Ashvin Parekh,KV Kamath
2,"EASE 2.0 Index, sometimes seen in the news recently, is associated with which of the following sector?",Banking,Logistics,Governance,None of the above,Banking
3,"Consider the following statements with respect to Sustainability Summit

1.It is an annual flagship event to raise the bar of dialogue, practice and performance of sustainable business.
2.The summit is being organized by the Confederation of Indian Industry (CII), since 2006.
Which of the statement(s) given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Neither 1 nor 2
4,"With respect to SAROD-Ports, launched recently, consider the following statements:

1.It is a dispute redressal mechanism to facilitate affordable and timely resolution of disputes for the maritime sector.
2.It has been established under the Societies Registration Act, 1860.
3.It consists of members from the Indian Ports Association (IPA) and Indian Private Ports and Terminals Association (IPTTA).
 Which of the statements given above are correct?",1 and 2 only,1 and 3 only,2 and 3 only,"1, 2 and 3","1, 2 and 3"
5,"Rajiv Mehrishi Committee, sometimes seen in the news recently, was constituted for which of the following purposes?",To assess the suitability of the Indian insurance industry to offer Surety Bonds for road contracts,To assess the impact of waiving of interest and waiving of interest on interest on the Covid-19-related moratorium on the economy,To review the regulatory framework on micro-insurance and recommend measures to increase the demand for such products,None of the above,To assess the impact of waiving of interest and waiving of interest on interest on the Covid-19-related moratorium on the economy
6,Which of the following regarding Five Star Villages Scheme is incorrect?,It was launched by the Department of Posts and implemented by a team of five Gramin Dak Sevaks,"Under the scheme, if a village attains universal coverage for four postal schemes, then that village will get four-star status", Pradhan Mantri Jeevan Jyoti Bima Yojana is one of the five postal schemes listed under the Five Star Villages Scheme,None of the above,None of the above
7,"Consider the following statements with respect to the Foreign Direct Investment (FDI) in Defence sector in India

1.The FDI limit in defence sector under automatic route is 74%.
2.In value terms, India imports most of its high-tech defence hardware such as aircraft, ships, submarines and missiles.
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Both 1 and 2
8,"Consider the following statements with respect to Sri Viswanatha Satyanarayana

1.The Ramayana Kalpavruksham, was one of his famous work.
2.He was the first Telugu writer to receive Jnanpith Award.   
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Both 1 and 2
9,"Consider the following statements with respect to the Asian Development Bank (ADB)

1.It assist its members and partners, by providing technical assistance, equity investments to promote social and economic development.
2.It admits only the members of the United Nations Economic and Social Commission for Asia and the Pacific as its members.   
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,1 only
10,Bahrain recently seen in news is?,An archipelago in the Persian Gulf,It is the India's second biggest oil supplier after Iran,Both (a) and (b),None of the above,An archipelago in the Persian Gulf
11,"Consider the following statements with respect to Central Water Commission (CWC)

1.It is a premier technical organization in the field of water resources functioning as an attached office of the Ministry of Jal Shakti.
2.It provides flood forecasting services to all major flood prone inter-state river basins of India.  
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Both 1 and 2
12,"Consider the following statements with respect to Committee on Content Regulation in Government Advertising (CCRGA)

1.It is a three-member body, set up in 2016, mandated by the Government of India Advertising (Regulation) Act, 2015.
2.The committee is not allowed to take suo-moto cognizance of any violation of the Supreme Court guidelines.
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Neither 1 nor 2
13,"Consider the following statements with respect to Global Multidimensional Poverty Index

1.It is an international measure of multidimensional poverty released every year by scoring each surveyed household on 10 parameters.
2.It was launched in 2010 by the Oxford Poverty and Human Development Initiative (OPHI) and United Nations Development Programme (UNDP).
3.NITI Aayog is the nodal agency for leveraging the monitoring mechanism of the Global MPI to drive reforms in India. 
Which of the statement(s) given above is/are correct?", 2 only,1 and 2 only,1 and 3 only,"1, 2 and 3","1, 2 and 3"
14,"Shikshak Parv Initiative, sometimes seen in the news recently, is an initiative of?",Ministry of Culture,Ministry of Tourism, Ministry of Education,None of the above,Ministry of Education
15,"Which of the following is/are associated with the state of Punjab?

1. Lohri festival
2. Giddha dance
3. Cheraw dance
4. Bhangra dance
5. Ambubashi Mela 
Select the correct answer using the codes given below:",All except 5, 1 and 4 only,"1, 2 and 4 only",All except 2 and 3,"1, 2 and 4 only"
16,"Consider the following statements with respect to Infrastructure Investment Trusts (InvITs)

1. They works on the pattern of mutual funds are very much similar to the Real Estate investment Trusts (REITs) in structure and operations.
2. In India, InvITs are regulated by the Reserve Bank of India (RBI).
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,1 only
