Sl-No,Question,A,B,C,D,Answer
1,"If A + B means A is the mother of B; A - B means A is the brother B; A % B means A is the father of B and A x B means A is the sister of B, which of the following shows that P is the maternal uncle of Q?",Q - N + M x P,P + S x N - Q,P - M + N x Q,Q - S % P,P - M + N x Q
2,"If A is the brother of B; B is the sister of C; and C is the father of D, how D is related to A?",Brother,Sister,Nephew,Cannot be determined,Cannot be determined
3,"If A $ B means A is the brother of B; B * C means B is the son of C; C @ D means C is the wife of D and A # D means A is the son of D, how C is related to A?",Maternal grandmother,Maternal aunt,Aunt,Mother,Mother
4,"Pointing to a girl Sandeep said, ""She is the daughter of the only sister of my father."" How is sandeep related to the girl?",Uncle,Cousin,Father,Grandfather,Cousin
5,Flow : River :: Stagnant : ?,Rain,Stream,Pool,Canal,Pool
6,Ornithologist : Bird :: Archaeologist : ?,Islands,Mediators,Archaeology,Aquatic,Archaeology
7,Peace : Chaos :: Creation : ?,Build,Construction,Destruction,Manufacture,Destruction
8,"A, P, R, X, S and Z are sitting in a row. S and Z are in the centre. A and P are at the ends. R is sitting to the left of A. Who is to the right of P ?",A,X,S,Z,X
9,"A, B, C, D and E are sitting on a bench. A is sitting next to B, C is sitting next to D, D is not sitting with E who is on the left end of the bench. C is on the second position from the right. A is to the right of B and E. A and C are sitting together. In which position A is sitting ?",Between B and D,Between B and C,Between E and D,Between C and E,Between B and C
10,"120, 99, 80, 63, 48, ?",35,38,39,40,35
11,"589654237, 89654237, 8965423, 965423, ?",58965,65423,89654,96542,96542
12,"125,80,45,20,?",5,8,10,12,5
13,"Here are some words translated from an artificial language. gorblflur means fan belt, pixngorbl means ceiling fan, arthtusl means tile roof, Which word could mean ""ceiling tile""?",gorbltusl,flurgorbl,arthflur,pixnarth,pixnarth
14,"Here are some words translated from an artificial language. hapllesh means cloudburst, srenchoch means pinball, resbosrench means ninepin, Which word could mean ""cloud nine""?",leshsrench,ochhapl,haploch,haplresbo,haplresbo
15,Which word does NOT belong with the others?,rye,sourdough,pumpernickel,loaf,rye
16,Which word does NOT belong with the others?,dodge,flee,duck,avoid,flee
17,"The total of the ages of Amar, Akbar and Anthony is 80 years. What was the total of their ages three years ago ?",71 years,72 years,74 years,77 years,71 years
18,Two bus tickets from city A to B and three tickets from city A to C cost Rs. 77 but three tickets from city A to B and two tickets from city A to C cost Rs. 73. What are the fares for cities B and C from A ?,"Rs. 4, Rs. 23","Rs. 13, Rs. 17","Rs. 15, Rs. 14","Rs. 17, Rs. 13","Rs. 13, Rs. 17"
19,An institute organised a fete and 1/5 of the girls and 1/8 of the boys participated in the same. What fraction of the total number of students took part in the fete ?,2/13,13/40,Data inadequate,None of these,Data inadequate
20,"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 each extra. The number of those who attended the picnic was",8,12,16,24,8
21,A pineapple costs Rs. 7 each. A watermelon costs Rs. 5 each. X spends Rs. 38 on these fruits. The number of pineapples purchased is,2,3,4,Data inadequate,4
22,What is the product of all the numbers in the dial of a telephone ?,"1,58,480","1,59,450","1,59,480",None of these,None of these
23,"Five bells begin to toll together and toll respectively at intervals of 6, 5, 7, 10 and 12 seconds. How many times will they toll together in one hour excluding the one at the start ?",7 times,8 times,9 times,11 times,8 times
24,"In a city, 40% of the adults are illiterate while 85% of the children are literate. If the ratio of the adults to that of the children is 2 : 3, then what percent of the population is literate ?",20%,25%,50%,75%,75%
25,"In a family, each daughter has the same number of brothers as she has sisters and each son has twice as many sisters as he has brothers. How many sons are there in the family ?",2,3,4,5,3
26,"A student got twice as many sums wrong as he got right. If he attempted 48 sums in all, how many did he solve correctly ?",12,16,18,24,16
27,"In a group of cows and hens, the number of legs are 14 more than twice the number of heads. The number of cows is",5,7,10,12,7
28,Antonym of QUIESCENT,ACTIVE,Dormant,Weak,Unconcerned,ACTIVE
29,Antonym of RELINQUISH,Abdicate,Renounce,Possess,Deny,Possess
30,Antonym of TANGIBLE,Ethereal,Concrete,Actual,Solid,Ethereal
31,Antonym of FRUGAL,Copious,Extravagant,Generous,Ostentatious,Extravagant
32,"Antonym of SUPPRESS   
",Encourage,Allow,Praise,Permit,Encourage
33,Find the correctly spelt word,Ommineous,Omineous,Ominous,Omenous,Ominous
34,Find the correctly spelt word,Benefitted,Benifited,Benefited,Benefeted,Benefited
35,Find the correctly spelt word,Chancelary,Chancellery,Chancelery,Chancellary,Chancellery
36,Find the correctly spelt word,Survaillance,Surveillance,Survellance,Surveilance,Surveillance
37,Find the correctly spelt word,Inoculation,Innoculation,Inocculation,Inocullation,Inoculation
38,"Choose the one which can be substituted for the given sentence ""That which cannot be corrected""",Unintelligible,Indelible,Illegible,Incorrigible,Incorrigible
39,"Choose the one which can be substituted for the given sentence ""The study of ancient societies""",Anthropology,Archaeology,History,Ethnology,Archaeology
40,"Choose the one which can be substituted for the given sentence ""A person who insists on something""",Disciplinarian,Stickler,Instantaneous,Boaster,Stickler
41,"Choose the one which can be substituted for the given sentence ""One who is not easily pleased by anything""",Maiden,Mediaeval,Precarious,Fastidious,Fastidious
42,"Choose the one which can be substituted for the given sentence ""One who sacrifices his life for a cause""",Patriot,Martyr,Revolutionary,Soldier,Martyr
43,Synonym of VENT,Opening,Stodge,End,Past tense of go,Opening
44,"Synonym of INSOLVENT     

",Poor,Bankrupt,Penniless,Broke,Bankrupt
45,Synonym of REPEAL,Sanction,Perpetuate,Pass,Cancel,Cancel
